#{"t_start": 1682828368.962429, "env_id": null}
r,l,t
0,1,1.23022
0,1,1.231531
0,1,1.232492
856.596884,6,1.235891
0,1,1.238523
0,1,1.239445
0,1,1.240352
0,1,1.241254
0,1,1.242846
1017.36526,3,1.244811
0,1,1.24574
0,1,1.246693
255.320221,1,1.248407
877.92588,2,1.250737
0,1,1.252422
0,1,1.254065
0,1,1.256644
0,1,1.258239
0,1,1.259153
0,1,1.26004
0,1,1.261584
0,1,1.262512
0,1,1.263466
43.214923,1,1.264424
0,1,1.266874
0,1,1.26848
277.819437,1,1.270153
0,1,1.271832
0,1,1.274048
0,1,1.274981
0,3,1.276844
0,1,1.277722
0,1,1.27942
0,1,1.280359
0,1,1.281449
102.92569,1,1.283078
0,1,1.285489
0,1,1.287101
155.619952,1,1.288716
0,2,1.290328
0,1,1.291981
0,1,1.292948
0,1,1.293864
0,1,1.294824
0,1,1.296579
0,2,1.298011
0,1,1.299435
0,1,1.300543
0,1,1.302624
0,1,1.304332
0,1,1.306039
0,1,1.307542
0,1,1.309243
0,1,1.3102
0,1,1.311148
0,1,1.312113
0,1,1.31382
0,1,1.314797
0,1,1.315768
0,1,1.316702
0,1,1.318561
0,1,1.319514
0,1,1.320433
0,1,1.32139
0,1,1.323148
0,1,1.3241
0,1,1.325007
0,1,1.325915
0,1,1.327577
0,1,1.328524
0,1,1.329481
0,1,1.331045
0,1,1.333327
0,1,1.334681
0,1,1.335677
635.031411,1,1.336827
0,1,1.339077
0,1,1.340022
0,1,1.340964
0,1,1.341896
0,1,1.343625
0,1,1.344575
0,1,1.345523
0,1,1.346442
0,1,1.348395
546.372863,2,1.350806
0,1,1.352103
0,2,1.377548
0,1,1.431826
0,1,1.454247
0,1,1.477777
0,1,1.497731
0,1,1.518343
0,1,1.541799
0,1,1.56275
0,1,1.584289
0,1,1.608974
0,1,1.630052
0,1,1.64954
0,1,1.669736
0,1,1.695958
0,1,1.713809
0,1,1.733279
0,1,1.753079
0,1,1.773761
0,1,1.79253
0,1,1.809502
0,1,1.828888
0,1,1.849481
0,1,1.868819
0,1,1.892741
0,1,1.913451
0,1,1.936637
0,1,1.962412
0,1,1.981082
0,1,2.002351
0,1,2.030844
0,1,2.053499
0,1,2.0736
0,1,2.093184
0,1,2.1148
0,1,2.137481
0,1,2.156731
0,1,2.177466
0,1,2.197417
0,1,2.217999
0,1,2.23695
0,1,2.255391
0,1,2.277423
0,1,2.297772
0,1,2.318154
0,1,2.335169
0,1,2.356331
0,1,2.375899
0,1,2.395171
0,1,2.414554
0,1,2.435004
0,1,2.455811
0,1,2.478982
0,1,2.500801
0,1,2.522834
0,1,2.546045
0,1,2.568668
0,1,2.589631
0,1,2.610058
0,1,2.631339
0,1,2.651486
0,1,2.669595
0,1,2.689835
0,1,2.711507
0,1,2.73137
0,1,2.751705
0,1,2.769232
0,1,2.788999
0,1,2.80662
0,1,2.826214
0,1,2.845725
0,1,2.865943
0,1,2.885734
0,1,2.905644
0,1,2.928549
0,1,2.947023
0,1,2.965582
0,1,2.986481
0,1,3.008598
0,1,3.027522
0,1,3.049556
0,1,3.070692
0,1,3.094288
0,1,3.115347
0,1,3.134793
0,1,3.155405
0,1,3.180634
0,1,3.202662
0,1,3.221116
0,1,3.239769
0,1,3.262165
0,1,3.280219
0,1,3.298703
0,1,3.317075
0,1,3.337615
0,1,3.360694
0,1,3.382244
0,1,3.402742
0,1,3.425553
0,1,3.445103
0,1,3.487467
0,1,3.50838
0,1,3.532017
0,1,3.550854
0,1,3.569263
0,1,3.58854
0,1,3.60923
0,1,3.629936
0,1,3.649247
0,1,3.669214
0,1,3.69148
0,1,3.709108
0,1,3.725871
0,1,3.741803
652.680328,1,3.7612
652.680438,1,3.781892
652.680511,1,3.801666
652.680511,1,3.82104
652.680547,1,3.842253
0,1,3.861337
0,1,3.881013
0,1,3.899595
0,1,3.922996
0,1,3.941914
0,1,3.961128
0,1,3.979489
0,1,4.001653
0,1,4.021827
0,1,4.042463
0,1,4.063329
0,1,4.091846
0,1,4.114424
0,1,4.133954
0,1,4.153094
0,1,4.182657
0,1,4.202109
0,1,4.226364
0,1,4.245022
0,1,4.268559
0,1,4.291596
0,1,4.310548
0,1,4.32734
0,1,4.351965
0,1,4.374904
0,1,4.396052
