#{"t_start": 1682828472.0552056, "env_id": null}
r,l,t
142.162221,1,1.238252
0,1,1.239594
0,1,1.240553
0,2,1.242691
0,1,1.247121
0,1,1.248295
0,1,1.249253
0,1,1.250231
738.522775,2,1.252738
1410.842984,2,1.254228
0,1,1.255202
0,1,1.256136
0,1,1.258278
0,1,1.259902
0,1,1.261571
0,1,1.263154
235.633725,1,1.26563
0,1,1.266681
69.281344,1,1.267627
0,1,1.268574
0,1,1.270522
0,1,1.271495
0,1,1.272445
0,1,1.273372
0,1,1.27506
0,1,1.276018
0,1,1.27716
0,1,1.278131
0,1,1.279965
0,1,1.28134
0,1,1.28241
0,1,1.283338
0,1,1.285326
0,1,1.286309
0,1,1.28723
0,1,1.288133
0,1,1.289818
0,1,1.290867
0,1,1.291806
0,1,1.29275
193.543078,3,1.295791
0,1,1.296771
0,1,1.297935
0,1,1.299181
0,1,1.301107
0,1,1.302064
0,1,1.302984
0,1,1.303925
0,1,1.305612
0,1,1.306958
0,1,1.307939
0,1,1.308858
0,1,1.310579
0,1,1.311534
0,1,1.312473
0,1,1.313428
0,1,1.315634
0,1,1.316673
0,1,1.317631
0,1,1.318538
0,1,1.320462
0,1,1.321389
0,1,1.322355
0,1,1.323368
0,1,1.325116
0,1,1.32625
0,1,1.327197
0,1,1.32812
0,1,1.329966
0,1,1.331296
0,1,1.332363
0,1,1.333291
0,1,1.33549
0,1,1.336411
0,1,1.337311
0,1,1.338252
331.330199,2,1.340517
0,1,1.341523
342.499853,1,1.342502
0,1,1.343465
0,1,1.345355
0,1,1.346368
0,1,1.347302
0,1,1.348652
0,1,1.350645
0,2,1.352054
0,1,1.352977
0,1,1.353927
0,1,1.355614
192.154477,2,1.357113
0,1,1.358082
630.936006,4,1.363284
0,1,1.486251
0,1,1.509578
0,1,1.530341
0,1,1.550669
0,1,1.574202
0,1,1.596442
0,1,1.619252
0,1,1.64
0,1,1.65989
0,1,1.684839
0,1,1.704865
0,1,1.726015
0,1,1.745176
0,1,1.765904
0,1,1.78477
0,1,1.803658
0,1,1.826578
0,1,1.844869
0,1,1.863942
0,1,1.88276
0,1,1.912495
0,1,1.934154
0,1,1.953546
0,1,1.972724
0,1,1.995054
0,1,2.023656
0,1,2.044878
0,1,2.064939
0,1,2.08757
0,1,2.11002
0,1,2.128561
0,1,2.14908
0,1,2.168468
0,1,2.188935
0,1,2.212742
0,1,2.233924
0,1,2.256937
0,1,2.276922
0,1,2.297346
0,1,2.317045
0,1,2.339489
0,1,2.362647
0,1,2.381251
0,1,2.40369
0,1,2.42688
0,1,2.446566
0,1,2.467424
0,1,2.488402
0,1,2.508748
0,1,2.533037
0,1,2.552903
0,1,2.573106
0,1,2.59366
0,1,2.62041
0,1,2.640172
0,1,2.658498
0,1,2.679203
0,1,2.701218
0,1,2.719395
0,1,2.738844
0,1,2.765596
0,1,2.789874
0,1,2.80972
0,1,2.828861
0,1,2.851068
0,1,2.8758
0,1,2.897432
0,1,2.915484
0,1,2.941586
0,1,2.964828
0,1,2.984544
0,1,3.000489
0,1,3.025198
0,1,3.044777
0,1,3.060967
0,1,3.081091
0,1,3.104893
0,1,3.123991
0,1,3.144611
0,1,3.16608
0,1,3.189144
0,1,3.209412
0,1,3.229365
0,1,3.24671
0,1,3.270148
0,1,3.28838
0,1,3.305132
0,1,3.322965
0,1,3.342396
0,1,3.362034
0,1,3.38101
0,1,3.399951
0,1,3.420435
0,1,3.440313
0,1,3.458972
0,1,3.478101
0,1,3.513935
0,1,3.538212
0,1,3.566348
0,1,3.584712
0,1,3.629313
0,1,3.6496
0,1,3.667931
0,1,3.686581
0,1,3.708017
0,1,3.727161
0,1,3.74501
0,1,3.764599
0,1,3.786304
0,1,3.804702
0,1,3.824926
0,1,3.840981
0,1,3.861729
0,1,3.880888
0,1,3.899694
0,1,3.921834
0,1,3.944191
0,1,3.961095
0,1,3.980693
0,1,3.996981
0,1,4.018634
0,1,4.037167
0,1,4.056127
0,1,4.074121
0,1,4.096954
0,1,4.115673
0,1,4.151508
0,1,4.172724
0,1,4.201229
0,1,4.221338
0,1,4.245868
0,1,4.269163
0,1,4.294997
0,1,4.315696
0,1,4.336025
0,1,4.357002
0,1,4.381526
0,1,4.3994
0,1,4.419706
0,1,4.437334
0,1,4.460541
0,1,4.484395
0,1,4.504534
0,1,4.523335
0,1,4.546226
0,1,4.565709
0,1,4.582568
0,1,4.599924
0,1,4.621653
0,1,4.64127
0,1,4.660637
0,1,4.677332
0,1,4.701362
0,1,4.720267
0,1,4.739528
0,1,4.75775
0,2,4.786067
511.710421,2,4.824796
1508.218035,2,4.857519
1592.75928,2,4.886728
1606.280594,2,4.929205
1609.201288,2,4.962076
1611.071162,2,4.99782
652.677808,1,5.029614
652.678904,1,5.050251
652.679561,1,5.068785
652.679926,1,5.08868
652.680145,1,5.107545
652.680291,1,5.130224
652.680401,1,5.1485
652.680474,1,5.170537
652.680511,1,5.191863
652.680547,1,5.212792
652.680584,1,5.231686
652.680584,1,5.250304
652.680584,1,5.26916
652.68062,1,5.288835
652.68062,1,5.309084
652.680657,1,5.327298
652.680657,1,5.346056
652.680657,1,5.369297
652.680657,1,5.391938
652.680657,1,5.414326
652.680657,1,5.433238
652.680657,1,5.459002
652.680657,1,5.479942
652.680657,1,5.501994
652.680657,1,5.521127
652.680657,1,5.5443
652.680657,1,5.566114
652.680657,1,5.586954
652.680657,1,5.610073
652.680657,1,5.633303
652.680657,1,5.68694
652.680657,1,5.710401
652.680657,1,5.734144
652.680657,1,5.758167
652.680657,1,5.780276
652.680657,1,5.804571
652.680657,1,5.826252
652.680657,1,5.847567
652.680657,1,5.870022
652.680657,1,5.889955
652.680657,1,5.909241
652.680657,1,5.931813
652.680657,1,5.953274
652.680657,1,5.977854
652.680657,1,5.998532
652.680657,1,6.021329
652.680657,1,6.044482
652.680657,1,6.063403
652.680657,1,6.084997
652.680657,1,6.126583
652.680657,1,6.150182
652.680657,1,6.171807
652.680657,1,6.194201
652.680657,1,6.222622
652.680657,1,6.244318
652.680657,1,6.264842
652.680657,1,6.28431
652.680657,1,6.310622
652.680657,1,6.33311
652.680657,1,6.358272
652.680657,1,6.384077
652.680657,1,6.413314
652.680657,1,6.435652
652.680657,1,6.457184
652.680657,1,6.480928
652.680657,1,6.507961
652.680657,1,6.528568
652.680657,1,6.552827
652.680657,1,6.578207
652.680657,1,6.611111
652.680657,1,6.635066
652.680657,1,6.658879
652.680657,1,6.685347
652.680657,1,6.710029
652.680657,1,6.732685
652.680657,1,6.758207
652.680657,1,6.78211
652.680657,1,6.806637
652.680657,1,6.833046
652.680657,1,6.852427
652.680657,1,6.872642
652.680657,1,6.89349
652.680657,1,6.916473
652.680657,1,6.936658
652.680657,1,6.956192
652.680657,1,6.976835
652.680657,1,7.000505
652.680657,1,7.021659
652.680657,1,7.041927
652.680657,1,7.065794
652.680657,1,7.086094
652.680657,1,7.107646
652.680657,1,7.127185
652.680657,1,7.148299
652.680657,1,7.167599
652.680657,1,7.188694
652.680657,1,7.20861
652.680657,1,7.230699
652.680657,1,7.259524
652.680657,1,7.281033
652.680657,1,7.300855
652.680657,1,7.326046
652.680657,1,7.348529
652.680657,1,7.368461
652.680657,1,7.388994
652.680657,1,7.409083
652.680657,1,7.433145
652.680657,1,7.452593
652.680657,1,7.473454
652.680657,1,7.495606
652.680657,1,7.525918
