#{"t_start": 1688958427.8017845, "env_id": "None"}
r,l,t
0.0,1,21.581025
0.0,1,21.583323
0.0,1,21.584428
0.0,1,21.5863
0.0,1,21.603071
0.0,1,21.604199
0.0,1,21.605216
0.0,1,21.606953
0.0,1,21.611234
0.0,1,21.613163
0.0,1,21.614773
0.0,1,21.616291
0.0,1,21.619053
0.0,1,21.621429
0.0,1,21.623389
0.0,1,21.624522
0.0,1,21.626532
0.0,1,21.627715
0.0,1,21.628703
0.0,1,21.629673
0.0,1,21.631391
0.0,1,21.632442
0.0,1,21.633429
0.0,1,21.634545
0.0,1,21.636344
0.0,1,21.637483
0.0,1,21.638613
0.0,1,21.639696
0.0,1,21.641584
0.0,1,21.643298
0.0,1,21.64466
0.0,1,21.646391
0.0,1,21.648529
0.0,1,21.650037
0.0,1,21.651891
0.0,1,21.653173
0.0,1,21.65554
0.0,1,21.656714
0.0,1,21.657848
0.0,1,21.658921
0.0,1,21.660895
0.0,1,21.661988
0.0,1,21.663081
0.0,1,21.664185
0.0,1,21.666097
0.0,1,21.667197
0.0,1,21.66828
0.0,1,21.669571
0.0,1,21.67169
0.0,1,21.672914
0.0,1,21.674007
0.0,1,21.675152
0.0,1,21.677563
0.0,1,21.678772
0.0,1,21.679861
0.0,1,21.68097
0.0,1,21.682975
0.0,1,21.684079
0.0,1,21.685211
0.0,1,21.687132
0.0,1,21.689203
0.0,1,21.690383
0.0,1,21.691521
0.0,1,21.692835
0.0,1,21.695192
0.0,1,21.696299
0.0,1,21.697371
0.0,1,21.698483
0.0,1,21.700363
0.0,1,21.701439
0.0,1,21.702507
0.0,1,21.703892
0.0,1,21.705949
0.0,1,21.707059
0.0,1,21.708084
0.0,1,21.709204
0.0,1,21.711948
0.0,1,21.713284
0.0,1,21.715205
0.0,1,21.717152
0.0,1,21.720021
0.0,1,21.721752
0.0,1,21.722835
0.0,1,21.723963
0.0,1,21.725839
0.0,1,21.726931
0.0,1,21.727997
0.0,1,21.728976
0.0,1,21.730654
0.0,1,21.731781
0.0,1,21.732778
0.0,1,21.733791
0.0,1,21.735541
0.0,1,21.736639
0.0,1,21.737733
0.0,1,21.738827
0.0,1,21.740845
0.0,1,21.742708
334.716297,2,21.745819
0.0,1,21.749953
0.0,1,21.751455
0.0,1,21.752973
0.0,1,21.754067
0.0,1,21.755967
0.0,1,21.757062
0.0,1,21.758741
0.0,1,21.760645
0.0,1,21.762383
0.0,1,21.764305
0.0,1,21.766191
0.0,1,21.767691
0.0,1,21.769931
0.0,1,21.771125
0.0,1,21.772281
0.0,1,21.773434
0.0,1,21.775954
0.0,1,21.777544
0.0,1,21.779094
572.071408,2,21.782154
0.0,1,21.784606
0.0,1,21.786167
0.0,1,21.787346
0.0,1,21.788463
0.0,1,21.790342
0.0,1,21.79168
0.0,1,21.793133
0.0,1,21.794243
0.0,1,21.796124
0.0,1,21.797231
0.0,1,21.798363
507.174733,2,21.801406
0.0,1,21.803269
0.0,1,21.804341
0.0,1,21.805432
0.0,1,21.806499
0.0,1,21.808393
0.0,1,21.809469
0.0,1,21.810542
0.0,1,21.811618
0.0,1,21.813278
0.0,1,21.814277
0.0,1,21.815351
0.0,1,21.816353
0.0,1,21.818017
0.0,1,21.819156
0.0,1,21.820274
0.0,1,21.821345
0.0,1,21.823171
0.0,1,21.824243
0.0,1,21.825777
0.0,1,21.827677
0.0,1,21.829816
0.0,1,21.831295
0.0,1,21.833177
0.0,1,21.834399
0.0,1,21.836645
0.0,1,21.837726
0.0,1,21.838798
0.0,1,21.839864
0.0,1,21.842077
0.0,1,21.843427
0.0,1,21.844776
0.0,1,21.845877
0.0,1,21.848375
0.0,1,21.849466
0.0,1,21.850556
0.0,1,21.851873
0.0,1,21.853854
0.0,1,21.854946
0.0,1,21.856025
0.0,1,21.8571
0.0,1,21.85982
0.0,1,21.861319
0.0,1,21.863192
0.0,1,21.865149
0.0,1,21.86749
0.0,1,21.868604
0.0,1,21.869673
0.0,1,21.871118
0.0,1,21.873016
0.0,1,21.87407
0.0,1,21.875668
0.0,1,21.876822
0.0,1,21.878803
0.0,1,21.880332
0.0,1,21.882183
0.0,1,21.883479
0.0,1,21.886299
0.0,1,21.887781
0.0,1,21.888902
0.0,1,21.889927
0.0,1,21.892286
